iter	Passed	Remaining
0	1	131
1	2	110
2	3	116
3	5	124
4	6	122
5	7	120
6	8	118
7	10	120
8	11	120
9	13	117
10	14	116
11	15	115
12	16	112
13	18	111
14	19	111
15	21	111
16	22	109
17	23	107
18	24	106
19	26	104
20	27	102
21	28	100
22	29	97
23	30	96
24	32	96
25	33	95
26	34	94
27	35	92
28	37	92
29	39	91
30	40	89
31	41	87
32	42	86
33	43	84
34	44	82
35	45	80
36	46	79
37	48	78
38	49	76
39	50	75
40	51	74
41	53	73
42	54	72
43	55	70
44	56	69
45	57	68
46	59	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	71	55
56	72	54
57	74	53
58	76	52
59	77	51
60	78	49
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	86	40
68	87	39
69	88	37
70	89	36
71	91	35
72	92	34
73	93	32
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	102	25
80	103	24
81	105	23
82	106	21
83	107	20
84	109	19
85	110	18
86	112	16
87	113	15
88	115	14
89	116	12
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	124	5
96	125	3
97	127	2
98	128	1
99	129	0
