iter	Passed	Remaining
0	137	137236
1	138	68908
2	138	46122
3	139	34712
4	140	27873
5	140	23316
6	141	20043
7	142	17613
8	142	15704
9	143	14181
10	143	12936
11	144	11894
12	145	11012
13	145	10251
14	146	9589
15	146	9011
16	147	8503
17	147	8052
18	148	7646
19	148	7294
20	149	6976
21	150	6683
22	150	6412
23	151	6161
24	151	5927
25	152	5712
26	153	5514
27	153	5331
28	154	5161
29	154	5004
30	155	4854
31	155	4715
32	156	4584
33	156	4459
34	157	4340
35	158	4231
36	158	4126
37	159	4028
38	159	3934
39	160	3846
40	160	3761
41	161	3682
42	162	3606
43	162	3532
44	163	3465
45	163	3398
46	164	3334
47	165	3272
48	165	3214
49	166	3158
50	166	3104
51	167	3051
52	167	3001
53	168	2951
54	169	2904
55	169	2857
56	170	2813
57	170	2770
58	171	2729
59	171	2689
60	172	2649
61	172	2612
62	173	2576
63	173	2540
64	174	2505
65	174	2473
66	175	2441
67	175	2409
68	176	2379
69	176	2350
70	177	2322
71	178	2296
72	178	2271
73	179	2244
74	179	2218
75	180	2193
76	180	2168
77	181	2144
78	181	2120
79	182	2097
80	182	2075
81	183	2053
82	183	2029
83	184	2008
84	184	1988
85	185	1967
86	185	1948
87	186	1929
88	186	1910
89	187	1893
90	187	1875
91	188	1858
92	188	1842
93	189	1825
94	189	1808
95	190	1792
96	190	1777
97	191	1762
98	192	1748
99	192	1733
100	193	1719
101	193	1705
102	194	1692
103	194	1678
104	195	1664
105	195	1651
106	196	1638
107	196	1626
108	197	1613
109	197	1601
110	198	1589
111	198	1577
112	199	1565
113	199	1553
114	200	1542
115	200	1531
116	201	1520
117	201	1509
118	202	1499
119	203	1489
120	203	1479
121	204	1468
122	204	1458
123	205	1448
124	205	1438
125	206	1430
126	206	1420
127	207	1411
128	207	1402
129	208	1393
130	208	1384
131	209	1376
132	209	1367
133	210	1358
134	210	1350
135	211	1341
136	211	1333
137	212	1326
138	212	1318
139	213	1310
140	213	1303
141	214	1294
142	214	1287
143	215	1279
144	215	1272
145	216	1265
146	216	1258
147	217	1250
148	217	1243
149	218	1237
150	218	1230
151	219	1223
152	219	1217
153	220	1210
154	221	1205
155	221	1199
156	222	1193
157	222	1186
158	223	1181
159	223	1175
160	224	1168
161	224	1162
162	225	1156
163	225	1150
164	226	1144
165	226	1139
166	227	1134
167	227	1128
168	228	1123
169	229	1118
170	229	1112
171	230	1107
172	230	1101
173	231	1096
174	231	1091
175	232	1086
176	232	1081
177	233	1076
178	233	1071
179	234	1066
180	234	1062
181	235	1057
182	235	1053
183	236	1048
184	236	1043
185	237	1038
186	237	1034
187	238	1029
188	238	1025
189	239	1020
190	239	1016
191	240	1012
192	241	1007
193	241	1003
194	242	999
195	242	994
196	243	991
197	243	987
198	244	983
199	244	978
200	245	974
201	245	970
202	246	966
203	246	962
204	247	959
205	247	955
206	248	951
207	248	947
208	249	944
209	250	940
210	250	937
211	251	933
212	251	930
213	252	926
214	252	922
215	253	919
216	253	916
217	254	912
218	254	909
219	255	906
220	256	902
221	256	899
222	257	896
223	257	892
224	258	889
225	258	885
226	259	882
227	259	879
228	260	875
229	260	872
230	261	869
231	261	866
232	262	862
233	262	859
234	263	857
235	264	854
236	264	851
237	265	848
238	265	845
239	266	842
240	266	839
241	267	836
242	267	833
243	268	830
244	268	827
245	269	824
246	269	822
247	270	819
248	270	816
249	271	814
250	271	811
251	272	808
252	272	805
253	273	802
254	273	800
255	274	797
256	274	794
257	275	792
258	275	789
259	276	786
260	276	784
261	277	782
262	278	780
263	279	777
264	279	775
265	280	773
266	280	770
267	281	768
268	281	765
269	282	763
270	282	760
271	283	758
272	283	755
273	284	753
274	284	750
275	285	748
276	285	745
277	286	743
278	286	740
279	287	738
280	287	736
281	288	733
282	288	731
283	289	729
284	289	726
285	290	724
286	290	722
287	291	719
288	291	717
289	292	715
290	292	713
291	293	711
292	293	709
293	294	707
294	295	705
295	295	703
296	296	701
297	296	698
298	297	696
299	297	694
300	298	692
301	298	690
302	299	688
303	299	686
304	300	684
305	300	682
306	301	680
307	301	677
308	302	675
309	302	673
310	303	671
311	303	669
312	304	667
313	304	665
314	305	663
315	305	661
316	306	660
317	306	658
318	307	656
319	308	654
320	308	653
321	309	651
322	309	649
323	310	647
324	311	646
325	311	644
326	312	642
327	312	640
328	313	638
329	313	636
330	314	634
331	314	632
332	314	630
333	315	629
334	315	627
335	316	625
336	316	623
337	317	621
338	317	619
339	318	618
340	318	616
341	319	614
342	319	612
343	320	611
344	321	609
345	321	608
346	322	606
347	322	604
348	323	602
349	323	601
350	324	599
351	324	597
352	325	595
353	325	594
354	326	592
355	326	591
356	327	589
357	327	587
358	328	586
359	328	584
360	329	582
361	329	580
362	330	579
363	330	577
364	331	576
365	331	574
366	332	573
367	332	571
368	333	569
369	333	568
370	334	566
371	334	565
372	335	563
373	335	562
374	336	560
375	336	559
376	337	557
377	338	556
378	338	554
379	338	553
380	339	551
381	340	550
382	340	548
383	340	546
384	341	545
385	341	543
386	342	542
387	343	541
388	343	539
389	344	538
390	344	536
391	345	535
392	345	533
393	346	532
394	346	530
395	347	529
396	347	527
397	348	526
398	348	525
399	349	523
400	349	522
401	350	521
402	350	519
403	351	518
404	351	517
405	352	515
406	352	514
407	353	512
408	353	511
409	354	509
410	354	508
411	355	507
412	355	505
413	356	504
414	356	503
415	357	501
416	357	500
417	358	499
418	358	497
419	359	496
420	359	494
421	360	493
422	360	492
423	361	490
424	361	489
425	362	488
426	362	486
427	363	485
428	364	484
429	364	483
430	365	482
431	365	480
432	366	479
433	366	478
434	367	477
435	367	475
436	368	474
437	368	473
438	369	471
439	369	470
440	370	469
441	370	467
442	371	466
443	371	465
444	372	464
445	372	462
446	373	461
447	373	460
448	374	459
449	374	458
450	375	456
451	375	455
452	376	454
453	377	453
454	377	452
455	378	451
456	379	450
457	379	449
458	380	448
459	380	447
460	381	445
461	381	444
462	382	443
463	382	442
464	383	441
465	384	440
466	384	439
467	385	437
468	385	436
469	386	435
470	386	434
471	387	432
472	387	431
473	388	430
474	388	429
475	389	428
476	389	427
477	390	426
478	390	425
479	391	424
480	391	422
481	392	421
482	393	420
483	393	419
484	394	418
485	394	417
486	395	416
487	396	415
488	396	414
489	397	413
490	397	412
491	398	411
492	398	410
493	399	408
494	399	407
495	400	406
496	401	405
497	401	404
498	402	403
499	402	402
500	403	401
501	403	400
502	404	399
503	404	398
504	405	397
505	405	396
506	406	395
507	406	394
508	407	393
509	408	392
510	408	391
511	409	390
512	409	389
513	410	388
514	411	387
515	411	385
516	412	384
517	412	383
518	413	382
519	413	381
520	414	380
521	414	379
522	415	378
523	415	377
524	416	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	419	369
532	420	368
533	420	367
534	421	366
535	421	365
536	422	364
537	422	363
538	423	362
539	423	361
540	424	360
541	424	359
542	425	358
543	425	357
544	426	355
545	426	354
546	427	353
547	427	352
548	428	352
549	429	351
550	429	350
551	430	349
552	430	348
553	431	347
554	431	346
555	432	345
556	432	344
557	433	343
558	433	342
559	434	341
560	434	340
561	435	339
562	435	338
563	436	337
564	436	336
565	437	335
566	437	334
567	438	333
568	438	332
569	439	331
570	439	330
571	440	329
572	440	328
573	441	327
574	441	326
575	442	325
576	442	324
577	443	323
578	443	322
579	444	321
580	444	320
581	445	319
582	445	318
583	446	318
584	446	317
585	447	316
586	447	315
587	448	314
588	448	313
589	449	312
590	450	311
591	450	310
592	451	309
593	451	308
594	452	307
595	452	306
596	453	305
597	453	305
598	454	304
599	455	303
600	455	302
601	456	301
602	456	300
603	457	299
604	457	298
605	458	297
606	458	296
607	459	296
608	459	295
609	460	294
610	460	293
611	461	292
612	461	291
613	462	290
614	462	289
615	463	288
616	463	287
617	464	287
618	464	286
619	465	285
620	465	284
621	466	283
622	466	282
623	467	281
624	468	280
625	468	280
626	469	279
627	469	278
628	470	277
629	470	276
630	471	275
631	472	274
632	472	273
633	473	273
634	473	272
635	474	271
636	474	270
637	475	269
638	475	268
639	476	267
640	476	267
641	477	266
642	477	265
643	478	264
644	479	263
645	479	262
646	480	261
647	480	261
648	481	260
649	481	259
650	482	258
651	482	257
652	483	256
653	483	255
654	484	254
655	484	254
656	485	253
657	485	252
658	486	251
659	486	250
660	487	249
661	487	248
662	488	248
663	488	247
664	489	246
665	489	245
666	490	244
667	490	243
668	491	242
669	491	242
670	492	241
671	492	240
672	493	239
673	493	238
674	494	238
675	494	237
676	495	236
677	495	235
678	496	234
679	497	233
680	497	233
681	497	232
682	498	231
683	499	230
684	499	229
685	500	228
686	500	228
687	500	227
688	501	226
689	501	225
690	502	224
691	502	223
692	503	223
693	503	222
694	504	221
695	504	220
696	505	219
697	505	218
698	506	218
699	507	217
700	507	216
701	508	215
702	508	214
703	509	214
704	509	213
705	510	212
706	510	211
707	511	210
708	511	210
709	512	209
710	512	208
711	513	207
712	514	206
713	514	206
714	515	205
715	515	204
716	516	203
717	516	202
718	517	202
719	517	201
720	518	200
721	518	199
722	519	198
723	519	198
724	520	197
725	520	196
726	521	195
727	522	195
728	522	194
729	523	193
730	524	192
731	524	192
732	525	191
733	525	190
734	526	189
735	526	188
736	527	188
737	527	187
738	528	186
739	528	185
740	529	185
741	529	184
742	530	183
743	530	182
744	531	181
745	531	181
746	532	180
747	532	179
748	533	178
749	533	177
750	534	177
751	535	176
752	535	175
753	536	174
754	536	174
755	537	173
756	537	172
757	538	171
758	538	171
759	539	170
760	539	169
761	540	168
762	540	168
763	541	167
764	542	166
765	542	165
766	543	164
767	543	164
768	544	163
769	544	162
770	545	161
771	545	161
772	546	160
773	546	159
774	547	158
775	547	158
776	548	157
777	548	156
778	549	155
779	549	155
780	550	154
781	550	153
782	551	152
783	552	152
784	552	151
785	553	150
786	553	149
787	554	149
788	554	148
789	555	147
790	555	146
791	556	146
792	556	145
793	557	144
794	557	143
795	558	143
796	558	142
797	559	141
798	559	140
799	560	140
800	560	139
801	561	138
802	561	137
803	562	137
804	562	136
805	563	135
806	563	134
807	564	134
808	564	133
809	565	132
810	565	131
811	566	131
812	566	130
813	567	129
814	567	128
815	568	128
816	568	127
817	569	126
818	569	125
819	570	125
820	570	124
821	571	123
822	572	123
823	572	122
824	572	121
825	573	120
826	574	120
827	574	119
828	575	118
829	575	117
830	576	117
831	576	116
832	577	115
833	577	114
834	578	114
835	578	113
836	579	112
837	579	112
838	580	111
839	580	110
840	581	109
841	581	109
842	582	108
843	582	107
844	583	107
845	583	106
846	584	105
847	584	104
848	585	104
849	586	103
850	586	102
